#En cm class	red sig np class	red sig class B	red sig B rel	E	F	G	H	I	J
0.00040020	4.5539								
0.00040497	4.5270								
0.00048053	4.8680								
0.00056834	5.1655								
0.00066771	5.3305								
0.00077802	5.4115								
0.00089870	5.5014								
0.0010292	5.4691								
0.0011689	5.4794								
0.0013173	5.4074								
0.0014740	5.3158								
0.0016384	5.3045								
0.0018100	5.1438								
0.0019885	5.1448								
0.0021734	5.1731								
0.0023644	5.2329								
0.0025611	5.1642								
0.0027630	5.0679								
0.0029699	4.9547								
0.0031816	4.8862								
0.0033976	4.7611								
0.0036177	4.8951								
0.0038412	4.6747								
0.0040683	4.5747								
0.0042987	4.7147								
0.0045319	4.8075								
0.0047681	4.7680								
0.0050066	4.8102								
0.0052474	4.3971								
0.0054904	4.4479								
0.0057351	4.5321								
0.0059812	4.2760								
0.0062291	4.0900								
0.0064783	4.5534								
0.0067285	4.2278								
0.0069796	4.5940								
0.0072316	4.0252								
0.0074840	4.3398								
0.0077373	4.0312								
0.0079910	4.0578								
0.0082448	3.8488								
0.0084987	4.2616								
0.0087531	4.0506								
0.0090077	4.3280								
0.0092613	3.9412								
0.0097682	3.8016								
									
0.00020454		6.3698							
0.00020932		6.2968							
0.00028488		6.3224							
0.00037269		6.3789							
0.00047205		6.3397							
0.00058237		6.2548							
0.00070304		6.2200							
0.00083352		6.0771							
0.00097320		6.0050							
0.0011216		5.8600							
0.0012783		5.7081							
0.0014427		5.6527							
0.0016144		5.4466							
0.0017928		5.4182							
0.0019778		5.4229							
0.0021687		5.4639							
0.0023654		5.3735							
0.0025674		5.2575							
0.0027742		5.1264							
0.0029859		5.0437							
0.0032019		4.9044							
0.0034220		5.0331							
0.0036456		4.7985							
0.0038727		4.6888							
0.0041031		4.8258							
0.0043362		4.9148							
0.0045725		4.8689							
0.0048109		4.9070							
0.0050517		4.4815							
0.0052948		4.5293							
0.0055395		4.6115							
0.0057856		4.3477							
0.0060334		4.1558							
0.0062826		4.6237							
0.0065328		4.2906							
0.0067840		4.6598							
0.0070359		4.0808							
0.0072884		4.3977							
0.0075417		4.0832							
0.0077954		4.1084							
0.0080492		3.8953							
0.0083030		4.3116							
0.0085574		4.0966							
0.0088120		4.3757							
0.0090657		3.9835							
0.0095726		3.8403							
									
2.3590e-05			18.767						
2.8364e-05			17.115						
0.00010391			10.474						
0.00019170			8.8992						
0.00029104			8.0786						
0.00040133			7.5389						
0.00052198			7.2226						
0.00065243			6.8728						
0.00079208			6.6600						
0.00094047			6.4032						
0.0010971			6.1649						
0.0012615			6.0485						
0.0014331			5.7840						
0.0016115			5.7181						
0.0017964			5.6933						
0.0019874			5.7110						
0.0021840			5.5954						
0.0023859			5.4568						
0.0025927			5.3058						
0.0028044			5.2074						
0.0030203			5.0526						
0.0032404			5.1752						
0.0034639			4.9255						
0.0036909			4.8056						
0.0039212			4.9392						
0.0041544			5.0240						
0.0043906			4.9715						
0.0046289			5.0053						
0.0048697			4.5670						
0.0051127			4.6119						
0.0053573			4.6919						
0.0056034			4.4203						
0.0058512			4.2224						
0.0061004			4.6949						
0.0063505			4.3542						
0.0066016			4.7264						
0.0068535			4.1371						
0.0071059			4.4563						
0.0073591			4.1358						
0.0076127			4.1597						
0.0078665			3.9424						
0.0081203			4.3622						
0.0083746			4.1434						
0.0086291			4.4243						
0.0088827			4.0265						
0.0093896			3.8797						
